,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
86,Colorado ,B12,15-16,0.7345,112.4,34,101.7,183,68.5,110,-0.048,272,0.7692,19,106.2,39,95.6,10,0.4497,258
87,Kent St. ,MAC,24-10,0.7319,105.7,108,95.8,81,68.1,129,0.06,33,0.5931,120,102.6,141,99.3,104,0.6838,42
88,Providence ,BE,19-Dec,0.7291,115.4,19,104.8,237,74.9,5,-0.123,345,0.7506,36,107,23,97.2,47,0.4862,224
89,Houston,CUSA,19-16,0.7273,111.5,41,101.3,174,71.9,20,-0.098,337,0.6372,95,104.1,87,99.1,101,0.6224,97
90,Portland ,WCC,21-11,0.7264,108.9,66,99,129,64.4,287,0.011,110,0.576,138,103.5,110,100.8,163,0.6348,88
91,Nevada ,WAC,21-13,0.7257,111.4,42,101.3,175,70,58,-0.046,265,0.6295,99,105.5,61,100.7,159,0.6719,51
92,Arizona ,P10,16-15,0.7234,107.5,81,97.9,108,69.2,76,0.014,105,0.7584,29,106.5,33,96.4,27,0.7188,26
93,Ohio,MAC,22-15,0.722,107.6,78,98.1,111,69.8,64,-0.08,321,0.5502,149,102.1,160,100.3,146,0.5965,119
94,St. Louis ,A10,23-13,0.7217,99.6,190,90.8,29,63.3,313,0.028,80,0.6177,108,103.6,108,99.3,105,0.5106,196
95,Illinois St. ,MVC,22-11,0.7211,105.4,113,96.1,85,66.1,226,0.012,108,0.5626,142,102.3,157,100.1,136,0.4033,299
96,Morehead St. ,OVC,24-11,0.7175,105,123,95.9,83,65.8,240,-0.028,226,0.4262,233,100.6,202,103.3,263,0.556,161
97,Penn St. ,B10,20-Nov,0.7145,107.9,74,98.7,126,63.6,306,-0.151,346,0.7263,51,105.6,56,97,42,0.38,312
98,Auburn ,SEC,15-17,0.7056,109.7,54,100.7,161,70.4,43,-0.089,328,0.6789,72,104.5,77,97.9,70,0.4709,239
99,Southern Mississippi ,CUSA,20-14,0.6991,102.4,155,94.3,64,62,329,-0.063,299,0.6003,117,102.4,149,98.9,96,0.5178,190
100,Oklahoma ,B12,13-18,0.6986,109.8,53,101.1,171,66.6,205,-0.048,270,0.7751,14,107.5,10,96.6,29,0.5172,192
101,Sam Houston St.,Slnd,25-8,0.6943,108.5,68,100.2,154,70.4,44,0.041,52,0.4558,210,100.8,196,102.4,230,0.6527,69
102,Pacific ,BW,23-12,0.6932,104.3,132,96.3,87,61.9,331,0,138,0.4913,186,101.9,166,102.2,220,0.6063,113
103,Stanford ,P10,14-18,0.6867,105.5,111,97.7,106,67.5,158,-0.059,294,0.7135,59,105.6,53,97.6,58,0.5993,117
104,Charlotte ,A10,19-12,0.6864,106.9,90,99,131,68.5,107,0.058,35,0.6488,88,103.3,119,97.9,69,0.5306,178
105,Arkansas ,SEC,14-18,0.6835,105.1,122,97.5,102,71.7,23,-0.083,324,0.6645,80,104.7,72,98.6,92,0.449,259
106,Princeton ,Ivy,22-9,0.6703,98.3,214,91.8,36,59.9,342,-0.003,146,0.376,263,98.4,271,102.8,244,0.4544,253
107,Montana,BSky,22-10,0.6675,105.2,119,98.2,114,63.4,310,-0.053,280,0.4126,241,101.4,177,104.5,317,0.5083,201
108,Appalachian St. ,SC,24-13,0.6616,109.3,60,102.4,198,66.5,208,0,136,0.4796,194,100.8,194,101.5,188,0.6247,96
109,UCLA ,P10,14-18,0.6606,105.8,104,99.2,138,65.6,244,-0.027,221,0.7207,55,105.7,52,97.3,50,0.6138,101
110,Boston University ,AE,21-14,0.6606,104,136,97.4,100,71.2,29,-0.003,147,0.4586,208,99.3,243,100.8,162,0.6526,70
111,IUPUI ,Sum,25-11,0.6603,107.3,85,100.6,158,66.1,227,0.003,125,0.4451,219,100.3,212,102.3,224,0.6761,46
112,Iona ,MAAC,21-10,0.6576,98.5,209,92.4,43,66,233,0.03,77,0.5085,169,100.7,200,100.4,150,0.569,147
113,New Mexico St.,WAC,22-12,0.6516,110.6,46,104.1,224,71.5,25,0.11,5,0.6037,115,104.2,84,100.5,153,0.6125,103
114,Bradley ,MVC,16-15,0.6508,105.4,115,99.2,136,66.4,212,0.003,123,0.6542,86,104.6,73,99,98,0.5957,120
115,Creighton ,MVC,18-16,0.6497,106.8,91,100.6,159,66.6,206,-0.027,224,0.6113,110,103.6,104,99.6,116,0.5102,197
116,George Washington ,A10,16-15,0.6481,102.6,152,96.6,94,68.2,124,-0.057,292,0.6001,118,103.1,130,99.5,113,0.4635,245
117,William & Mary ,CAA,22-11,0.6468,107.6,79,101.4,179,61.6,333,0.1,7,0.6469,91,102.9,137,97.6,59,0.7372,18
118,Weber St. ,BSky,20-11,0.6459,106.7,93,100.6,160,69.2,75,-0.026,217,0.4967,179,102.5,146,102.6,238,0.6932,37
119,Fairfield ,MAAC,23-11,0.6459,105.1,121,99.1,134,67,185,0.032,73,0.4738,198,99.5,237,100.5,152,0.4798,233
120,Harvard ,Ivy,21-8,0.6452,106,102,100,152,68.2,127,0.039,56,0.4164,239,98.7,263,101.6,193,0.5489,167
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
121,Western Kentucky ,SB,21-13,0.6393,105.3,116,99.6,145,66,231,-0.032,233,0.4545,212,100.4,208,102,215,0.5947,121
122,Washington St. ,P10,16-15,0.6347,105.8,105,100.3,155,67.5,155,-0.031,232,0.6549,85,103.9,98,98.2,80,0.3998,302
123,Akron ,MAC,24-11,0.6323,103.9,138,98.6,123,66.3,215,0.035,66,0.4813,191,101.1,183,101.8,205,0.4589,249
124,Southern Illinois ,MVC,15-15,0.6317,105.1,120,99.7,146,67.2,172,-0.099,338,0.5845,128,102.8,140,99.8,122,0.385,311
125,Utah ,MWC,14-17,0.6315,101.1,173,95.9,84,66.2,219,-0.075,311,0.6296,98,104.2,85,99.5,112,0.5402,173
126,Oregon ,P10,16-16,0.6211,104,135,99.1,133,67.2,174,0,143,0.6579,83,104.2,83,98.5,90,0.4421,262
127,Wisconsin Milwaukee ,Horz,20-14,0.6147,104.7,128,100,153,67.6,153,0.015,99,0.5833,130,102.9,136,99.9,131,0.5847,134
128,Louisiana Tech ,WAC,24-11,0.6096,102.9,149,98.5,120,68.4,113,0.098,9,0.5453,152,103.6,107,102,211,0.4967,210
129,Detroit ,Horz,20-14,0.6078,99.2,196,95.1,71,69,85,-0.021,202,0.5115,167,102,161,101.6,195,0.4241,281
130,Hofstra ,CAA,19-15,0.6068,100.5,182,96.3,89,70.7,36,-0.012,172,0.543,154,101.9,165,100.4,147,0.5615,155
131,Niagara ,MAAC,18-15,0.6066,104.2,133,99.9,149,69.4,71,-0.077,317,0.4983,178,99.8,229,99.9,127,0.5222,186
132,Vermont,AE,25-10,0.6064,103.4,141,99.1,135,67.2,178,0.057,38,0.3459,286,97.6,294,103.2,259,0.4336,269
133,Belmont ,ASun,19-12,0.6029,101.9,161,97.9,107,70.2,52,-0.023,208,0.4248,236,99.7,234,102.3,229,0.6494,71
134,Oregon St. ,P10,14-18,0.5866,98.4,213,95.1,72,62.5,324,-0.027,223,0.666,79,104,89,98,71,0.454,254
135,St. Bonaventure ,A10,15-16,0.5857,104.8,127,101.4,177,67.8,141,-0.028,225,0.6332,97,102.8,139,98,76,0.5993,118
136,Jacksonville ,ASun,20-13,0.5841,100.9,177,97.6,103,69,84,0.032,71,0.467,203,100.1,216,101.3,182,0.7113,28
137,Indiana St. ,MVC,17-15,0.5829,102.8,150,99.5,143,65.9,237,0.052,42,0.6438,92,103.6,106,98.4,85,0.5551,162
138,Northern Colorado ,BSky,25-8,0.5819,103.1,145,99.9,148,68.1,130,0.014,103,0.3494,283,100,219,105.6,341,0.3529,325
139,Wisconsin Green Bay ,Horz,22-13,0.581,104.6,131,101.3,176,64.8,278,0.077,16,0.5589,145,102.2,158,100.2,140,0.5251,184
140,Miami OH ,MAC,14-18,0.5778,102.2,158,99.2,137,60.8,337,-0.041,252,0.6259,101,103.7,100,99.2,102,0.7249,23
141,Oral Roberts ,Sum,20-13,0.5772,100.7,181,97.7,104,67.2,175,-0.007,158,0.4417,221,100.6,203,102.7,241,0.685,41
142,East Tennessee St.,ASun,20-15,0.5743,99.4,195,96.5,93,68.5,112,-0.014,179,0.4916,185,101,188,101.3,183,0.7409,17
143,Western Michigan ,MAC,18-15,0.573,105.5,112,102.5,201,67,183,-0.041,254,0.5097,168,100.6,206,100.2,145,0.6104,106
144,Southern Methodist ,CUSA,14-17,0.5722,104.6,129,101.7,182,62,330,-0.12,342,0.5572,146,101.8,167,99.8,123,0.3788,313
145,College of Charleston ,SC,22-12,0.5672,108.4,69,105.6,250,70.2,50,0.087,12,0.4941,183,101.1,186,101.3,181,0.6143,100
146,Oakland,Sum,26-9,0.5596,105.5,110,103.1,214,71,31,0.164,1,0.4842,189,101.2,181,101.7,200,0.7456,14
147,Drexel ,CAA,16-16,0.5554,98.5,208,96.4,92,65.4,255,-0.01,168,0.5807,133,103.4,113,100.5,154,0.6027,116
148,Duquesne ,A10,16-16,0.5554,101.1,174,98.9,128,71.3,26,0.014,102,0.6482,89,103.1,126,97.8,66,0.5461,170
149,Cleveland St. ,Horz,16-17,0.5506,104.9,126,102.8,205,65.7,243,-0.022,206,0.625,103,104,92,99.4,111,0.6708,52
150,Colorado St. ,MWC,16-16,0.5478,99.2,198,97.3,99,67.6,150,0.01,113,0.6241,104,103.7,99,99.3,103,0.5148,195
151,Long Beach St. ,BW,17-16,0.5471,99,199,97.2,98,70.7,38,0.02,90,0.6274,100,104.6,75,99.9,129,0.8327,2
152,Middle Tennessee ,SB,19-14,0.5441,101,176,99.3,141,66.1,223,-0.056,289,0.3903,254,99.5,238,103.5,280,0.4867,222
153,Stephen F. Austin ,Slnd,23-9,0.5437,100.7,180,99,130,60.1,341,0.034,68,0.307,308,97.5,296,104.7,322,0.3496,328
154,UC Santa Barbara,BW,20-10,0.5395,98.2,219,96.7,95,67.4,165,0.113,3,0.4995,175,101.7,170,101.7,198,0.6488,72
155,Idaho ,WAC,15-16,0.5367,103.5,140,102,192,66,232,-0.056,290,0.5644,141,103.3,121,101,171,0.5041,204
156,Rutgers ,BE,15-17,0.5356,102.4,154,101,168,68.5,106,0.06,32,0.6983,65,105.1,66,97.7,64,0.3539,324
157,Boise St. ,WAC,15-17,0.5351,100.7,179,99.3,142,71.1,30,-0.076,314,0.4796,193,103.1,129,103.8,302,0.3422,332
158,Morgan St.,MEAC,27-10,0.5317,103,147,101.8,184,70,57,0.065,25,0.337,291,97.7,291,103.7,291,0.5367,176
159,Western Carolina ,SC,22-12,0.53,103.4,142,102.2,196,69.8,63,0.043,48,0.4788,196,101.1,182,101.9,209,0.6322,92
160,Coastal Carolina ,BSth,28-7,0.529,99.6,192,98.5,118,64.5,282,0.014,104,0.2087,342,94.8,333,106.4,346,0.3269,338
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
161,Campbell ,ASun,19-11,0.5276,98.8,205,97.7,105,65.2,267,-0.008,162,0.3556,278,98.2,276,103.4,275,0.4674,240
162,La Salle ,A10,18-Dec,0.5194,103.7,139,102.9,208,69.1,79,-0.029,227,0.654,87,104,90,98.4,84,0.5629,152
163,Massachusetts ,A10,20-Dec,0.5185,101.6,164,100.9,165,69.9,62,-0.008,163,0.6903,69,105.6,59,98.5,88,0.6721,50
164,Buffalo ,MAC,18-12,0.5176,105.2,117,104.5,232,69.5,67,0.054,40,0.4962,180,100,221,100.1,138,0.4631,247
165,Drake ,MVC,14-19,0.5104,105.8,107,105.3,249,64.1,295,-0.004,150,0.5851,127,103.1,131,100,133,0.4217,282
166,George Mason ,CAA,17-15,0.5089,101.1,172,100.8,164,66.1,225,0.034,67,0.5353,157,101.4,175,100.2,142,0.5036,205
167,Central Florida ,CUSA,15-17,0.5083,101.5,167,101.1,172,64.6,279,-0.003,148,0.5903,121,103.3,120,100.1,135,0.5238,185
168,North Texas,SB,24-9,0.5083,102.2,159,101.9,187,68.4,114,0.098,10,0.3839,259,99.2,246,103.4,270,0.521,189
169,Mount St. Mary's ,NEC,16-15,0.5082,95.5,255,95.2,75,67.3,171,-0.075,312,0.3463,285,97.9,286,103.4,274,0.6698,54
170,St. Peter's ,MAAC,16-14,0.5041,90.9,306,90.8,28,65.9,235,-0.025,214,0.4071,243,99.1,250,102.4,233,0.2979,345
171,Lehigh,Pat,22-11,0.503,104.9,125,104.8,236,70.2,53,0.006,116,0.2753,319,96.1,316,104.5,316,0.3089,341
172,DePaul ,BE,23-Aug,0.5005,98.5,210,98.5,119,63.8,301,-0.051,276,0.7454,40,106.4,36,96.9,40,0.4978,209
173,Iowa ,B10,22-Oct,0.4996,101.6,165,101.6,181,62.6,321,-0.045,262,0.7437,43,105.8,50,96.4,26,0.4919,215
174,Valparaiso ,Horz,15-17,0.498,109.4,57,109.4,304,68.9,89,0,135,0.609,113,102.4,153,98.5,91,0.6279,93
175,Saint Joseph's ,A10,20-Nov,0.4916,100.4,184,100.7,162,70.2,49,0.005,119,0.7104,60,105.4,65,97.5,54,0.6928,38
176,Robert Morris,NEC,23-12,0.4892,98.8,204,99.2,140,67,186,0.063,27,0.3298,294,97.2,302,103.4,269,0.5909,128
177,Troy ,SB,20-13,0.4878,103.3,144,103.8,220,66.8,193,0.069,21,0.5001,174,102.4,152,102.4,232,0.7283,22
178,Texas Christian ,MWC,13-19,0.4877,104.2,134,104.7,234,64.8,277,-0.015,182,0.655,84,103.9,95,98.3,83,0.5675,148
179,Texas A&M Corpus Chris ,Slnd,17-15,0.4839,97.9,223,98.5,121,66.3,216,-0.045,261,0.4669,204,100.4,210,101.6,191,0.6448,76
180,Eastern Kentucky ,OVC,20-13,0.4829,109.1,63,109.8,308,62.5,325,-0.024,210,0.3755,265,99.1,249,103.6,289,0.4097,292
181,Lipscomb ,ASun,17-13,0.4776,107.5,83,108.4,291,70.4,41,-0.046,266,0.37,270,98,284,102.7,240,0.4937,214
182,Louisiana St. ,SEC,20-Nov,0.4732,97.3,226,98.4,116,62.9,318,-0.016,186,0.6919,67,105.4,63,98.2,81,0.4663,242
183,Indiana ,B10,21-Oct,0.4721,99.9,188,101,167,68.7,96,-0.056,288,0.7207,54,105.6,55,97.2,48,0.389,309
184,Rider ,MAAC,17-16,0.4693,101.9,162,103.1,215,68.6,103,0.063,28,0.5289,161,100.4,211,99.4,108,0.5724,142
185,Seattle ,ind,17-14,0.4678,98.3,216,99.6,144,79.5,2,0.018,93,0.4158,240,100.6,205,103.6,287,0.4158,287
186,Loyola Marymount ,WCC,18-16,0.466,106,101,107.4,276,70.5,40,0.026,82,0.4987,176,101,189,101,173,0.4593,248
187,Eastern Michigan ,MAC,17-15,0.4615,98.3,215,99.8,147,66.6,207,-0.021,200,0.425,235,99.3,244,102,210,0.4275,276
188,Stony Brook ,AE,22-10,0.4615,101.1,171,102.6,204,66.4,213,0.04,54,0.3084,307,96.6,308,103.6,286,0.3528,326
189,San Jose St. ,WAC,14-17,0.459,108.1,72,109.9,310,66.9,189,-0.009,164,0.5602,144,103.3,117,101.2,179,0.4863,223
190,Fresno St. ,WAC,15-18,0.4581,97,230,98.6,124,66.6,203,-0.043,257,0.5513,148,103,134,101.1,177,0.4774,235
191,Denver ,SB,19-13,0.458,104,137,105.7,252,59.7,344,0.004,120,0.3615,275,98.4,270,103.4,267,0.4436,261
192,The Citadel ,SC,16-16,0.4546,98.9,200,100.7,163,60.7,338,-0.033,237,0.4717,200,101.3,179,102.3,227,0.577,138
